DCX	-0.028986439052387195
CCL2	0.025193250786590203
KIF18B	-0.024883916504301523
CENPF	-0.024110234515476295
TOP2A	-0.024007066018356924
ASPM	-0.023136520199642192
MYBL2	-0.02286491904940974
MKI67	-0.022513860492156437
SHD	-0.02234040307172566
SOX11	-0.02222635915182945
MAP2	-0.02218154583639414
IQGAP3	-0.02213940181951276
GSX1	-0.02201833767960599
ELAVL4	-0.021919850397373916
ADD2	-0.02180236743448554
MEX3A	-0.021790742486205113
RTKN2	-0.02161439649304814
TPX2	-0.021477627608458016
LINCR-0001	-0.021461435505793908
CH25H	0.021461213163075168
FAM111B	-0.02142166111012064
E2F2	-0.021279953250069848
VIPR2	-0.021141507125628352
FAM64A	-0.020757781221664714
SBK1	-0.02073548544348864
XRCC2	-0.020701276226819623
RN7SL1	-0.02055190098115705
FOXD3-AS1	-0.02053843044364841
SALL3	-0.02048856065334052
KIF4A	-0.020446830186245622
MIAT	-0.020394107206929704
HAMP	0.020382122827609195
SPAG5	-0.02036574675163329
HJURP	-0.020247610676684274
KIF15	-0.020227664863361527
BRIP1	-0.020100264755883956
PCDHGC4	-0.020042175286801484
CELSR3	-0.020014641958907613
SNORD3A	-0.019824490582014718
KIF2C	-0.01982213746254816
FOXM1	-0.0197366665230813
ATP1A3	-0.019597117099254022
LMNB1	-0.019574127064850386
IGF2BP3	-0.019551167442224664
BUB1B	-0.01952656494961463
DTL	-0.01952262793437066
POLQ	-0.01950737719723087
MMP16	-0.01946191264695314
IGKC	0.019437450615050797
UNC13A	-0.019434707732096018
RNF165	-0.019369540027751864
PAICSP4	-0.019358130242883458
KIF14	-0.019355031282477866
SGOL1	-0.019341501804455593
FAT3	-0.01933231532851299
KIFC1	-0.01932465187754476
GTSE1	-0.019310169960350322
SCARNA22	-0.019184113829821072
RCOR2	-0.01917369224027821
DLL3	-0.019131840645532684
ASCL1	-0.019126740006208762
UHRF1	-0.019110868083306882
MAGED4B	-0.019066482581081227
DDX12P	-0.019062189728133307
FAM83D	-0.01904676792975371
GLCCI1	-0.01902038766012437
GXYLT1P3	-0.01901188099989131
SKA1	-0.018998968612590678
RIMS4	-0.018898603253129666
RRM2	-0.018895985159323808
STMN2	-0.01886518652484271
TLK2P1	-0.01882889952333772
CBX2	-0.018804408176966107
SEZ6L	-0.01872050659120062
TIAM2	-0.01871767689108471
FREM2	-0.01869066075135712
GRIK3	-0.018644980815513273
TTK	-0.018630309689299348
SOX4	-0.01862084226852165
ESPL1	-0.018614567198538164
H19	-0.018591666713061124
LINC01224	-0.018572001438214542
MELK	-0.018564788828363866
LINC00925	-0.018541006137524848
ETV1	-0.01853428750488991
TROAP	-0.018502002547397586
MEG3	-0.018434031003258265
RNA5SP118	-0.018404648899423004
HES5	-0.018399452934794978
CLSPN	-0.018378905873467216
PRC1	-0.018377489071742935
KIAA1549	-0.018370348643095787
KIF20A	-0.018353524883317224
KIF23	-0.018258009078453097
MAGED4	-0.018229115625083957
AURKB	-0.018221872952307455
INA	-0.01821566817819254
NCAPH	-0.01818073541529527
MAST1	-0.018152368480549838
ELAVL2	-0.018148415593427624
